Part;Value;Device;Package;Description
C1;0.1uF;C-EU050-025X075;C050-025X075;
C2;0.1uF;C-EU050-025X075;C050-025X075;
C3;22pF;C-EU050-024X044;C050-024X044;
C4;22pF;C-EU050-024X044;C050-024X044;
C5;0.1uF;C-EU050-025X075;C050-025X075;
C6;0.1uF;C-EU050-025X075;C050-025X075;
C7;1500u/100V;CPOL-EUE7.5-18;E7,5-18;
C8;1500u/100V;CPOL-EUE7.5-18;E7,5-18;
D1;ZENER,27V;DIODE-P2-15;P2-15;
D2;1N4148;1N4933;DO41-10;
D3;1N4148;1N4933;DO41-10;
D4;1N4148;1N4933;DO41-10;
D5;1N4148;1N4933;DO41-10;
D6;4V3;BZV10;DO34Z7;Z DIODE
D7;4V3;BZV10;DO34Z7;Z DIODE
D8;1N4148;1N4933;DO41-10;
D9;1N4148;1N4933;DO41-10;
DCOM;M3-SCREW-CONNECTOR;M3-SCREW-CONNECTOR;M3-SCREW-CONNECTOR;A98R, https://audiodesign.info.pl/srubki-i-nakretki/ZLACZE-SRUBOWE-M3-DO-PCB--.html
DMTE;M3-SCREW-CONNECTOR;M3-SCREW-CONNECTOR;M3-SCREW-CONNECTOR;A98R, https://audiodesign.info.pl/srubki-i-nakretki/ZLACZE-SRUBOWE-M3-DO-PCB--.html
DPLS;M3-SCREW-CONNECTOR;M3-SCREW-CONNECTOR;M3-SCREW-CONNECTOR;A98R, https://audiodesign.info.pl/srubki-i-nakretki/ZLACZE-SRUBOWE-M3-DO-PCB--.html
IC1;TINY85V;TINY10P;DIL08;MICROCONTROLLER
IC2;L78L05;L78L05;TO92;
J1;J10MM;J10MM;10;Wire Bridge, 26-28AWG
J2;J5MM;J5MM;5;Wire Bridge, 26-28AWG
J3;J15MM;J15MM;15;Wire Bridge, 26-28AWG
J4;J10MM;J10MM;10;Wire Bridge, 26-28AWG
J5;J20MM;J20MM;20;Wire Bridge, 26-28AWG
J6;J5MM;J5MM;5;Wire Bridge, 26-28AWG
J7;J5MM;J5MM;5;Wire Bridge, 26-28AWG
J8;J5MM;J5MM;5;Wire Bridge, 26-28AWG
K1;EC2-3TNU;EC2-3TNU;EC2-3TNU;
K2;EC2-3TNU;EC2-3TNU;EC2-3TNU;
LN1;TPSQPAD1-20;TPSQPAD1-20;P1-20;Test pad
LN2;TPSQPAD1-20;TPSQPAD1-20;P1-20;Test pad
PCOM;TPSQPAD1-20;TPSQPAD1-20;P1-20;Test pad
PMTE;TPSQPAD1-20;TPSQPAD1-20;P1-20;Test pad
PPLS;TPSQPAD1-20;TPSQPAD1-20;P1-20;Test pad
Q1;4MHz;XTAL/S;QS;
R1;680,1W;R-EU_0414/5V;0414V;Vertically mounted
R2;680,1W;R-EU_0414/5V;0414V;Vertically mounted
R3;470;R-EU_0207/7;0207/7;
R4;470;R-EU_0207/7;0207/7;
S1;9450-2;9450-2;9450-2;MARQUARDT SWITCH or 2x3 2,54 PIN HEADER
T1;MCR100-8;MCR100-8;TO92-2;THYRISTOR
T2;MCR100-8;MCR100-8;TO92-2;THYRISTOR
